Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2023/07/10,205,PRVUPO,43.59,100.0,100.0,100.0,100.0,100.00,"6,791.00",100.00,"679,100.00",2,0.00,0.00,0.0,0.0,0.0,147.00,100.00
2023/07/12,203,PRVUPO,51.04,102.0,110.0,102.0,110.0,102.00,"200,040.00",100.00,"20,404,280.00",5,10.0,8.0,10.0,7.84,7.27,147.00,100.00
2023/07/13,205,PRVUPO,50.55,112.0,115.0,112.0,115.0,115.00,"156,490.00",110.00,"17,996,310.00",3,5.0,3.00,4.55,2.68,0.0,147.00,100.00
2023/07/16,202,PRVUPO,52.27,115.0,115.0,113.0,113.0,113.12,"137,900.00",115.00,"15,599,822.00",3,-2.00,2.00,-1.74,1.77,-0.11,147.00,100.00
2023/07/19,180,PRVUPO,50.43,115.0,115.0,115.0,115.0,115.00,"47,168.00",113.00,"5,424,320.00",1,2.0,0.00,1.77,0.0,0.0,147.00,100.00
2023/07/20,182,PRVUPO,55.86,115.0,115.0,115.0,115.0,115.00,"200,000.00",115.00,"23,000,000.00",1,0.00,0.00,0.0,0.0,0.0,147.00,100.00
2023/08/13,183,PRVUPO,33.66,115.0,115.0,115.0,115.0,115.00,"33,921.00",115.00,"3,900,915.00",1,0.00,0.00,0.0,0.0,0.0,147.00,100.00
2023/08/27,192,PRVUPO,23.02,113.0,113.0,111.0,111.0,111.91,"22,000.00",115.00,"2,462,000.00",2,-4.0,2.00,-3.48,1.8,-0.82,147.00,100.00
2023/08/28,192,PRVUPO,26.74,111.0,111.0,111.0,111.0,111.00,"54,695.00",111.00,"6,071,145.00",1,0.0,0.0,0.0,0.0,0.0,147.00,100.00
2023/09/12,190,PRVUPO,28.06,105.0,105.0,105.0,105.0,105.00,"89,456.00",111.00,"9,392,880.00",1,-6.0,0.0,-5.41,0.0,0.0,147.00,100.00
2023/09/19,188,PRVUPO,33.31,109.0,109.0,109.0,109.0,109.00,"68,366.00",109.00,"7,451,894.00",1,0.0,0.0,0.0,0.0,0.0,144.10,100.00
