Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2020/10/14,170,SIFCPO,56.53,120.0,120.0,120.0,120.0,120.00,0.0,0.0,120.00,"4,209.00",120.00,"505,080.00",1,0.0,0.0,0.0,0.0,0.0,,,120.00,120.00
2020/10/15,170,SIFCPO,59.48,120.0,120.0,120.0,120.0,120.00,0.0,0.0,120.00,"21,692.00",120.00,"2,603,040.00",2,0.0,0.0,0.0,0.0,0.0,,,120.00,120.00
2020/10/25,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2020/09/22,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2020/09/23,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2020/09/13,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2020/08/05,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2020/06/22,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2020/02/15,274,SIFCPO,30.49,286.0,286.0,286.0,286.0,286.00,0.0,0.0,286.00,"6,000.00",286.00,"1,716,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,286.00,232.50
2019/12/08,147,SIFCPO,52.9,120.0,120.0,120.0,120.0,120.00,0.0,0.0,120.00,"64,498.00",120.00,"7,739,760.00",4,0.0,0.0,0.0,0.0,0.0,,,120.00,120.00
